Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
D. Sterling,Rangers,Rangers,"RB, RCB",26,709,1,0.44,1,0.21,England,10.54,4.57,61.11,2.67,47.62,0.25,0.38,0.89,7.49,11.27,1.14,1,0.13,0,0,1.78,0.13,1,0.13,0.06,1,0.13,1,0.13,0,100,0.13,3.05,41.67,1.14,44.44,3.17,44,0.89,0.89,0.38,31.48,1.52,0.63,44.3,84.53,19.93,80.89,5.2,97.56,12.44,87.76,5.46,53.49,21.74,33.7,0.03,0.13,0.13,0,0,0,0.25,6.22,75.51,2.41,63.16,0.13,0,0.25,1.02,9.65,77.63,0,,0,,0,0,0,0,,,1.27,,
B. Miovski,Rangers,Rangers,CF,26,1306,5,3.89,1,1.4,North Macedonia,2.83,2.62,60.53,6.48,34.04,0.07,0.13,0.14,1.17,2.16,0.96,3,0.21,0,0,1.17,0.34,5,0.34,0.27,0,0,24,1.65,50,20.833,0.07,0.21,0,0.41,66.67,4,37.93,3.24,0.14,0,11.23,1.17,0.9,13.09,85.26,2.21,84.38,4.48,89.23,2.96,81.4,0.28,50,11.39,4.54,0.1,0.62,0,0,0.07,100,0.28,0.96,57.14,0.76,90.91,0.07,100,1.03,0,1.31,78.95,0,,0,,0,0,0,0,,,0.07,,
A. Idah,Swansea City,Celtic,CF,24,147,0,0.76,0,0,Republic of Ireland,1.22,2.45,25,3.06,60,0,0,0,0.61,1.3,2.45,1,0.61,0,0,1.84,0,0,0,0.47,0,0,4,2.45,50,0,0,1.22,0,2.45,25,8.57,21.43,5.51,0,0,11.02,1.84,1.22,11.63,63.16,0.61,0,5.51,77.78,4.29,57.14,0,0,14.45,0,0,0,0,0,0,0,0,0.61,100,1.22,50,0,0,0,0,0,0,0,,0,,0,0,0,0,,,0,,
Joshua Brenet,Kayserispor,Livingston,"RB, RWB",31,971,0,0.06,1,0.49,Netherlands,8.9,8.06,62.07,1.76,47.37,0,0,0.28,3.89,5.06,1.02,0,0,0,0,0.93,0,0,0,0.01,0,0,3,0.28,0,0,0.09,1.95,14.29,1.11,58.33,3.06,48.48,0.83,1.95,0.28,28.08,0.93,0.37,41.52,79.24,17.8,73.44,6.86,95.95,11.03,77.31,5.56,53.33,17.77,29.27,0.05,0.19,0.09,0,0.09,0,0.19,6.58,74.65,2.22,20.83,0.74,37.5,0.37,0.37,8.16,77.27,0,,0,,0,0,0,0,,,0.56,,
Paulo Bernardo,Celtic,Celtic,"LCMF, DMF",24,253,0,0.23,0,0.29,Portugal,5.34,4.98,50,2.85,37.5,0.71,1.3,0,2.13,3.91,1.78,1,0.36,0,0,1.42,0,0,0,0.08,0,0,1,0.36,100,0,0,0.71,0,1.07,66.67,5.69,50,0.71,0.36,0.36,53,0,1.42,71.5,88.06,22.41,77.78,12.81,97.22,25.26,92.96,3.91,27.27,16.82,26,0.1,0.71,0,0,0.36,100,0,8.18,73.91,2.85,50,1.42,25,1.42,0,9.25,65.38,0,,0,,0,0,0,0,,,0.71,,
Dennis Geiger,Aberdeen,Aberdeen,"DMF, RCMF",27,624,1,0.2,0,0.52,Germany,7.64,6.92,52.08,2.45,17.65,0,0,0.29,4.04,5.64,2.31,3,0.43,0,0,0.43,0.14,1,0.14,0.03,0,0,3,0.43,33.33,33.333,0,1.15,12.5,0.58,0,5.63,35.9,0.58,0.58,0.14,21.35,0.43,1.01,34.33,79.41,12.4,68.6,6.06,97.62,9.23,82.81,3.17,45.45,15.65,25.88,0.07,0.43,0.14,0,0.14,100,0.43,4.04,71.43,2.45,35.29,0.43,66.67,1.01,0.43,5.34,62.16,0,,0,,0,0,0,0,,,0.58,,
J. Butland,Rangers,Rangers,GK,33,3142,0,0,0,0,England,1.29,0.06,100,0.14,100,0.03,0.05,0,1.2,2.03,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0,0,0,16.21,0.23,0.09,23.57,86.03,13.72,78.29,0,0,8.31,98.28,8.02,62.86,30.26,51.11,0,0,0,0,0,0,0,2.61,52.75,0.2,14.29,0.06,0,0,0,6.07,74.53,28,0.8,125,3.58,12,77.6,34.63,0.99,6.63,0.19,0,0.92,0.14
J. Souttar,Rangers,Rangers,"RCB, LCB, CB",29,2090,0,1.13,0,0.06,Scotland,6.98,3.4,69.62,5.51,57.03,0.34,0.58,0.6,4.26,7.21,0.73,7,0.3,0,0,0.34,0,0,0,0.05,0,0,10,0.43,20,0,0,0.17,50,0.17,75,1.16,59.26,0.6,1.33,0.04,42.5,0.3,0.86,57.88,92.19,22.31,84.75,3.06,98.59,27.13,96.98,4.82,61.61,20.23,36.7,0,0.09,0.04,0,0.04,100,0.04,7.62,77.97,0.47,45.45,0.43,40,0.17,0.09,9.52,79.64,0,,0,,0,0,0,0,,,2.11,,
R. Matondo,Brann,Rangers,RW,25,1,0,0,0,0,England,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,
D. Cornelius,Rangers,Rangers,"LCB, LB",28,604,1,0.51,1,0.56,Canada,10.43,6.56,75,5.51,54.05,0.45,0.83,0.15,5.07,9.44,0.89,1,0.15,0,0,1.19,0.15,1,0.15,0.08,1,0.15,4,0.6,50,25,0.15,0.45,33.33,0.75,80,4.32,75.86,1.64,0.6,0.15,46.64,0,2.38,63.92,88.58,26.23,81.25,3.28,100,23.99,95.03,6.71,64.44,18.53,38.14,0.08,0.15,0,0,0.15,100,0.15,7.9,77.36,1.49,50,0.45,66.67,0.75,0.15,11.32,72.37,0,,0,,0,0,0,0,,,1.49,,
J. Rothwell,Sheffield United,Rangers,"DMF, RDMF, LDMF",31,441,0,0.08,1,0.77,England,5.31,3.67,61.11,1.84,55.56,0.61,1.2,0.41,2.45,4.8,1.02,0,0,0,0,1.02,0,0,0,0.02,0,0,6,1.22,0,0,0.2,0.61,100,0.61,66.67,1.84,33.33,0.61,2.24,1.22,38.98,0,0.2,49.8,91.8,9.39,82.61,8.57,92.86,21.63,97.17,2.04,70,16.78,15.05,0.16,1.43,0,0,0,0,0.2,5.92,89.66,1.84,66.67,0,0,1.02,0.61,6.12,90,0,,0,,0,0,0,0,,,0.82,,
L. Scales,Celtic,Celtic,LCB,27,2772,0,0.95,1,1.43,Republic of Ireland,7.34,4.61,62.68,6.92,64.32,0.19,0.35,0.42,4.25,7.57,1.07,9,0.29,0,0,0.16,0,0,0,0.03,0,0,9,0.29,22.22,0,0.03,0.39,25,0.03,0,1.27,53.85,0.42,2.01,0.1,60.71,0.42,0.52,78.8,92.54,31.3,86.72,3.57,98.18,35.75,97.73,4.16,46.09,19.36,32.91,0.05,0.26,0.06,0.03,0,0,0.13,10.32,85.22,1.43,43.18,0.62,47.37,0.39,0.1,10.52,79.63,0,,0,,0,0,0,0,,,2.08,,
Kevin Nisbet,Aberdeen,Aberdeen,CF,29,1870,7,7.48,1,1.74,Scotland,3.37,1.93,47.5,7.12,39.86,0.05,0.07,0.29,2.41,3.43,0.91,3,0.14,0,0,1.06,0.34,6,0.29,0.36,1,0.05,43,2.07,39.53,16.279,0.05,0.58,8.33,0.48,40,4.38,26.37,3.51,0.29,0,11.02,2.36,0.67,15.35,68.34,3.56,60.81,3.51,83.56,5.29,69.09,1.3,51.85,15.65,21.42,0.08,0.48,0,0,0,0,0.39,1.78,56.76,0.82,35.29,0.14,33.33,0.67,0.14,2.12,54.55,0,,0,,0,0,0,0,,,0.1,,
D. Barlaser,Hibernian,Hibernian,"DMF, LCMF",29,2357,0,0.51,2,2.08,England,6.83,5.15,60,1.64,58.14,0.11,0.15,0.27,3.63,4.64,0.76,3,0.11,0,0,0.92,0,0,0,0.02,0,0,12,0.46,8.33,0,0.08,1.03,51.85,0.57,46.67,2.79,45.21,0.11,0.8,0.11,34.79,0.23,0.42,49.52,86.2,17.26,75.66,5.61,95.92,20.35,90.81,5.61,56.46,19.86,38.05,0.08,0.84,0,0.08,0.08,100,0.31,8.78,73.04,2.29,63.33,0.57,66.67,0.84,0.57,8.74,81.22,0,,0,,0,0,0,0,,,0.8,,
E. Youan,Hibernian,Hibernian,"CF, LWF",26,743,4,3.38,1,1.28,France,5.69,4.36,75,4,45.45,0,0,0.12,2.42,3.24,1.09,2,0.24,0,0,4.12,0.48,4,0.48,0.41,1,0.12,22,2.66,45.45,18.182,0.12,2.54,38.1,3.51,55.17,12.72,31.43,6.78,3.03,0.61,20.59,0.61,0.24,29.43,78.6,5.45,75.56,6.78,83.93,9.93,80.49,1.09,55.56,13.45,10.46,0.15,1.09,0,0.12,0,0,0.73,1.82,73.33,1.94,75,0,0,1.82,0.85,2.79,65.22,0,,0,,0,0,0,0,,,0,,
