Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
S. Goričan,Lokomotiva Zagreb,Lokomotiva Zagreb,LAMF,25,2883,6,4.56,4,3.26,Croatia,5.65,5.09,60.74,2.28,12.33,0.19,0.26,0,2.37,3.33,1.25,7,0.22,0,0,4.06,0.19,6,0.19,0.14,0,0,66,2.06,39.39,9.091,0.12,2.25,23.61,5.34,49.71,13.64,33.41,2.34,2.22,0.47,16.58,2.12,1.65,23.13,72.2,5.71,67.21,5.18,88.55,6.52,66.03,1.75,55.36,16.76,29.75,0.1,1.06,0.03,0,0.19,33.33,0.31,1.72,63.64,2.25,38.89,0.31,10,1.06,0.41,2.53,77.78,0,,0,,0,0,0,0,,,0.03,,
M. Devetak,Rijeka,Rijeka,LB,26,2877,1,0.41,3,1.29,Serbia,8.04,6.82,61.01,3.28,55.24,0.16,0.2,0.31,3.72,4.82,1.6,8,0.25,1,0.03,0.94,0.03,1,0.03,0.01,0,0,13,0.41,7.69,7.692,0.09,1.91,27.87,0.53,64.71,2.53,60.49,0.63,1.16,0.19,22.3,1.38,1.13,31.22,73.15,15.7,65.54,5.07,96.3,6.73,77.21,5.38,44.19,21.7,35.04,0.04,0.25,0,0.03,0.03,100,0.13,5.91,63.49,1.53,40.82,0.22,71.43,0.19,0.53,8.35,70.41,0,,0,,0,0,0,0,,,0.41,,
A. Smakaj,LASK,Lokomotiva Zagreb,"LDMF, LCMF",22,2862,2,1.28,3,2.44,Croatia,8.52,6.48,58.25,3.9,38.71,0.31,0.43,0.22,4.43,6.12,1.79,11,0.35,0,0,1.13,0.06,2,0.06,0.04,0,0,34,1.07,23.53,5.882,0.09,0.41,38.46,1.51,45.83,5.19,35.15,0.97,0.94,0.06,22.23,0.57,0.79,35.31,82.9,11.16,70.99,5.57,94.92,13.62,88.68,3.05,53.61,18.01,28.83,0.08,0.57,0.03,0,0.06,50,0.28,5.79,66.85,0.82,53.85,0.35,36.36,0.47,0.16,4.59,71.92,0,,0,,0,0,0,0,,,0.31,,
M. Valinčić,Dinamo Zagreb,Istra 1961,RB,22,2842,1,0.36,2,2.61,Croatia,10.32,7.16,65.49,2.79,60.23,0.41,0.55,0.35,5.23,7.01,1.2,5,0.16,0,0,1.77,0.03,1,0.03,0.01,0,0,7,0.22,57.14,14.286,0.06,1.62,33.33,1.77,62.5,5.04,47.8,0.57,1.74,0.57,30.43,1.39,1.58,44.62,85.45,14.69,73.92,7.38,95.71,15.83,90.6,3.71,47.01,19.18,34.08,0.08,0.48,0,0.03,0,0,0.38,5.07,68.75,1.81,42.11,0.16,0,0.41,0.51,7.09,71.43,0,,0,,0,0,0,0,,,1.33,,
L. Ba,Varaždin,Varaždin,"LCB, CB",28,2806,1,1.41,0,0.06,France,9.27,4.88,74.34,2.82,48.86,0.29,0.37,0.55,5.36,6.92,0.77,9,0.29,0,0,0.35,0.03,1,0.03,0.05,0,0,6,0.19,66.67,16.667,0,0.1,0,0.38,58.33,1.64,39.22,0.42,0.48,0,27.71,0.13,0.16,46.35,86.02,19.66,78.47,3.01,97.87,19.44,92.41,4.97,56.77,20.37,34.01,0,0.1,0,0,0.06,0,0,3.56,55.86,0.67,19.05,0.38,33.33,0.16,0.03,8.24,61.87,0,,0,,0,0,0,0,,,2.66,,
R. Mudražija,Lokomotiva Zagreb,Lokomotiva Zagreb,"AMF, CF",28,2800,14,7.24,1,4.05,Croatia,4.82,4.05,57.14,2.28,36.62,0.26,0.37,0.03,2.25,3.28,1.03,2,0.06,0,0,2.51,0.45,11,0.35,0.23,1,0.03,46,1.48,43.48,30.435,0.03,1.74,29.63,2.96,44.57,9.58,31.54,3.12,1.32,0.35,19.99,1.19,1.8,26.68,72.41,9.71,63.58,3.66,90.35,7.87,70.61,2.48,46.75,17.25,34.22,0.13,0.93,0.03,0,0.32,10,0.45,4.89,58.55,2.7,41.67,0.64,25,0.96,0.55,3.99,76.61,0,,0,,0,0,0,0,,,0.1,,
T. Fruk,Rijeka,Rijeka,"CF, AMF, LCMF",24,2798,10,9.96,7,3.35,Croatia,3.86,3.73,58.62,3.96,21.14,0.29,0.39,0.16,1.38,1.87,0.87,5,0.16,1,0.03,2.93,0.32,10,0.32,0.32,2,0.06,71,2.28,38.03,14.085,0.23,1.29,22.5,3.02,56.38,13.12,37.25,2.51,1.29,0.03,14.99,1.29,2.61,23.71,73,8.46,60.08,4.63,93.75,6.75,76.19,2.61,56.79,18.5,33.75,0.11,1.19,0.06,0,0.29,22.22,0.45,4.18,68.46,2.12,45.45,0.51,37.5,0.87,0.35,4.15,73.64,0,,0,,0,0,0,0,,,0.06,,
L. Jelenić,Osijek,Osijek,"RCB, LCB",25,2794,3,2.69,0,0.02,Croatia,9.82,6.44,71,5.12,54.72,0.32,0.44,0.61,4.93,6.66,0.81,6,0.19,0,0,0.39,0.1,3,0.1,0.09,0,0,11,0.35,45.45,27.273,0,0.1,0,0.45,50,1.96,42.62,0.42,1.19,0.16,27.35,0.39,1.13,42.55,88.42,17.88,80,3.22,97,16.4,96.07,4.28,50.38,19.53,33.6,0,0.03,0,0,0,0,0,3.77,68.38,0.48,26.67,0.13,50,0.13,0,6.64,64.56,0,,0,,0,0,0,0,,,2.19,,
I. Lučić,Hajduk Split,Hajduk Split,GK,30,2782,0,0,0,0,Austria,1.23,0.13,50,0.52,100,0,0,0,1.16,1.72,0.03,2,0.06,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,100,0,0,0,17.15,0.26,0.26,25.36,86.22,13.68,75.65,0,0,10.32,98.75,8.09,62.8,28.95,47.61,0,0,0,0,0,0,0,2.81,59.77,0.32,50,0.45,71.43,0.16,0,5.95,69.57,27,0.87,83,2.69,11,67.47,25.62,0.83,-1.38,-0.045,0,1.1,0.52
D. Prpić,Porto,Hajduk Split,LCB,21,2764,0,0.2,1,0.5,Croatia,9.31,5.99,74.46,3.58,65.45,0.2,0.28,0.68,4.66,6.71,1.01,6,0.2,0,0,0.62,0,0,0,0.01,0,0,4,0.13,50,0,0.03,0.33,80,0.39,58.33,1.86,38.6,0.16,1.47,0.07,28.26,0.36,0.39,43.11,88.07,17.06,77.86,4.1,96.83,17.88,96.17,5.37,55.15,19.8,30.64,0.02,0.16,0,0,0.13,50,0.07,4.95,67.76,0.88,44.44,0.33,30,0.23,0.23,7.29,72.32,0,,0,,0,0,0,0,,,3.09,,
