Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
N. Gillekens,RFC Seraing,RFC Seraing,GK,30,2507,0,0.03,0,0,Belgium,2.19,0.18,80,0.29,75,0,0,0,2.05,2.28,0,2,0.07,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0.18,80,0.04,0,0,18.42,0.25,0.14,28.22,77.35,15.72,60.5,0,0,11.38,99.37,12.24,51.61,35.6,51.2,0,0,0,0,0,0,0,3.95,37.27,0.36,10,0.5,50,0.04,0,9.12,65.35,34,1.22,113,4.06,8,69.91,34.55,1.24,0.55,0.02,0,1.47,0.29
M. Cachbach,Olympic Charleroi,Olympic Charleroi,"LCMF, DMF, RCMF",24,2506,0,1.07,2,2.6,Belgium,7.65,6.43,55.87,1.51,40.48,0.36,0.43,0.18,3.7,4.41,1.08,6,0.22,0,0,1.22,0,0,0,0.04,0,0,22,0.79,18.18,0,0.07,1.15,34.38,1.04,65.52,6.28,47.43,0.43,2.12,0.54,33.15,0.47,1.54,48.41,86.57,15.8,75.91,9.27,96.51,16.38,91.23,3.99,51.35,17.89,37.72,0.09,0.86,0.04,0,0.14,0,0.43,7.18,71,2.26,39.68,0.72,25,0.61,0.36,7.33,76.47,0,,0,,0,0,0,0,,,0.57,,
S. Dewaele,SK Beveren,SK Beveren,"DMF, RCMF",27,2503,0,0.58,0,1.12,Belgium,12.51,10.03,68.46,2.88,38.75,0.36,0.49,0.47,5.29,7.23,1.51,7,0.25,0,0,0.4,0,0,0,0.02,0,0,11,0.4,9.09,0,0,0.72,30,0.22,66.67,2.41,52.24,0.25,0.61,0,26.54,0,1.29,43.15,84.33,15.14,76.01,5.72,94.34,15.68,89.68,4.93,59.12,17.51,30.72,0.04,0.4,0.07,0,0.07,0,0.11,6.54,77.47,1.55,48.84,0.4,54.55,0.58,0.22,7.23,68.66,0,,0,,0,0,0,0,,,0.5,,
L. Schoofs,Lommel SK,Lommel SK,"RCMF, CF, RDMF",29,2471,10,7.15,1,1.93,Belgium,10.02,8.67,64.71,3.82,53.33,0.18,0.24,0.22,4.23,5.65,1.35,2,0.07,0,0,1.6,0.36,9,0.33,0.26,4,0.15,30,1.09,50,33.333,0.04,2,27.27,1.06,44.83,5.75,29.75,2.55,0.98,0.07,28.23,1.71,0.95,41.05,79.24,11.11,73.11,8.6,90.68,13.18,77.62,2.29,52.38,16.46,32.14,0.07,0.91,0.07,0.15,0.15,25,0.29,4.88,70.9,2.29,41.27,0.22,16.67,1.06,0.51,6.41,67.05,0,,0,,0,0,0,0,,,0.4,,
M. Hiller,Eupen,Eupen,GK,29,2469,0,0,0,0,Germany,1.86,0.04,0,0.44,83.33,0.04,0.05,0,1.82,2.39,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0,0,22.13,0.33,0.33,31.06,90.38,11.01,77.81,0,0,18.48,97.44,7.76,68.54,26.98,42.53,0,0,0,0,0,0,0,1.09,53.33,0.07,0,0.18,0,0,0,5.83,68.13,26,0.95,122,4.45,10,78.69,33.72,1.23,7.72,0.281,0,1.31,0.44
J. Belin,Liège,Liège,GK,30,2465,0,0,0,0,Belgium,1.68,0.04,100,0.55,80,0,0,0,1.64,1.88,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,100,0,0,0,13.07,0.15,0.47,26.91,89.15,12.49,80.12,0,0,13.14,97.22,9.31,71.76,31.03,48.76,0,0,0,0,0,0,0,1.9,61.54,0.11,33.33,0.22,50,0.07,0,7.59,79.81,29,1.06,130,4.75,9,77.69,33.19,1.21,4.19,0.153,0,1.72,0.55
L. Mertens,SK Beveren,SK Beveren,CF,33,2458,17,18.41,5,1.6,Belgium,2.97,2.12,60.34,8.38,53.28,0,0,0.11,1.68,2.27,1.46,4,0.15,0,0,1.46,0.62,16,0.59,0.67,7,0.26,75,2.75,42.67,22.667,0.18,0.22,0,0.7,42.11,9.12,24.1,4.61,0.22,0,9.52,2.09,1.79,13.07,71.71,3,56.1,3.08,88.1,3.04,66.27,0.55,40,14.06,12.24,0.06,0.73,0,0,0.04,0,0.33,1.35,48.65,0.48,46.15,0.11,0,0.95,0,1.32,36.11,0,,0,,0,0,0,0,,,0.04,,
M. Robberechts,Patro Eisden,Patro Eisden,"RW, RAMF",22,2446,2,3.35,2,3.48,Belgium,7.84,10.04,54.95,1.43,33.33,0,0,0.04,2.32,2.66,2.72,9,0.33,0,0,4.89,0.07,2,0.07,0.12,0,0,48,1.77,33.33,4.167,0.07,2.58,31.43,7.73,44.76,12.36,44.05,1.91,3.72,1.03,10.85,2.28,2.87,13.76,67.65,3.53,57.29,2.94,90,4.67,62.2,1.21,39.39,19.01,22.79,0.13,0.81,0.04,0,0.04,100,0.33,1.18,65.63,2.47,46.27,0.15,75,0.74,0.77,2.94,66.25,0,,0,,0,0,0,0,,,0.07,,
E. Soumah-Abbad,RFC Seraing,RFC Seraing,"AMF, LCMF, RCMF",22,2438,8,9.06,1,3.55,France,6.13,5.91,54.37,2.1,43.86,0.33,0.37,0.15,2.58,2.88,1.59,8,0.3,0,0,3.95,0.3,3,0.11,0.33,0,0,69,2.55,46.38,11.594,0.04,2.58,27.14,3.17,63.95,7.53,48.53,1.4,1.55,0.15,23.4,1.33,1.74,32.12,77.36,10.15,65.45,7.31,94.44,9.86,77.15,4.25,53.04,20.5,41.88,0.13,1.03,0,0,0.15,25,0.22,5.54,58,3.1,39.29,0.63,35.29,0.52,0.7,5.35,80,0,,0,,0,0,0,0,,,0.37,,
Jordi Palacios,Lokeren-Temse,Lokeren-Temse,"LB, LW",23,2434,2,1.73,2,4.77,Spain,7.17,6.51,63.07,2.29,37.1,0.07,0.1,0.3,3,4.2,0.85,3,0.11,0,0,3.62,0.07,2,0.07,0.06,1,0.04,25,0.92,36,8,0.07,4.4,40.34,2.74,55.41,5.07,49.64,2.03,2.22,0.3,24.26,1.15,0.78,34.72,75.29,10.61,64.46,8.21,93.69,10.24,76.9,3.66,54.55,19.12,33.12,0.18,1.29,0.07,0,0.04,0,0.37,3.4,64.13,3.62,54.08,0.22,33.33,0.7,1.81,7.28,67.51,0,,0,,0,0,0,0,,,0.52,,
J. van Landschoot,Kortrijk,Kortrijk,"CF, LWB",28,2431,11,7.33,1,4.19,Belgium,4.07,3.29,62.92,1.07,31.03,0,0,0,2,2.6,0.7,4,0.15,0,0,3.41,0.41,11,0.41,0.27,1,0.04,57,2.11,38.6,19.298,0.04,4.33,42.74,1.74,42.55,4.85,31.3,3.37,1.26,0.22,21.77,2.33,0.52,28.77,75.42,7.18,69.59,5.59,93.38,10.44,68.44,1.63,54.55,18.74,25.86,0.16,1.22,0,0,0.11,0,0.56,2.3,64.52,4.92,47.37,0.37,30,1.55,1.85,5.85,81.65,0,,0,,0,0,0,0,,,0.07,,
B. Plat,Beerschot VA,Beerschot VA,"LCB, RCB",25,2424,3,2.85,0,0.1,Netherlands,8.54,5.83,75.8,3.86,50,0.19,0.25,0.3,3.94,5.35,0.67,3,0.11,0,0,0.67,0.11,0,0,0.11,0,0,9,0.33,55.56,33.333,0,0.59,25,0.63,52.94,2.23,50,0.22,1.75,0.19,36.83,0.3,0.48,50.27,88.33,19.53,78.9,4.34,97.44,20.79,96.25,4.05,46.79,19.82,31.29,0,0.07,0,0,0,0,0.07,6.46,77.59,0.85,30.43,0.04,0,0.07,0.15,8.43,67.84,0,,0,,0,0,0,0,,,2.34,,
B. Godeau,SK Beveren,SK Beveren,LCB,33,2415,4,2.54,0,0.12,Belgium,7.86,3.84,68.93,2.91,57.69,0.19,0.26,0.71,5.03,6.9,0.67,2,0.07,0,0,0.22,0.15,4,0.15,0.09,1,0.04,7,0.26,57.14,57.143,0,0.07,0,0.11,66.67,1.04,39.29,0.45,0.78,0,43.42,0.37,0.3,62.09,90.1,19.34,80.35,3.76,93.07,34.36,95.34,6.04,58.02,21.94,42.49,0,0.07,0,0.07,0.04,0,0,7.38,69.19,0.56,33.33,0.45,41.67,0.19,0,9.54,73.44,0,,0,,0,0,0,0,,,2.42,,
K. Peersman,Gent,Gent II,GK,21,2409,0,0,0,0,Belgium,1.08,0,0,0.26,100,0,0,0,1.08,1.51,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0.04,100,0.11,66.67,0,0.04,0,15.88,0.19,0.07,23.91,86.09,15.17,80.3,0,0,8.14,97.25,8,65.42,30.41,46.97,0,0,0,0,0,0,0,1.57,35.71,0.15,50,0.15,25,0.04,0.04,7.02,72.34,38,1.42,118,4.41,6,67.8,39.69,1.48,1.69,0.063,0,1.46,0.26
M. Wasinski,Liège,Liège,RB,21,2402,0,0.49,5,2.12,Belgium,8.73,7.01,63.64,1.61,53.49,0.41,0.46,0.3,3.86,4.27,0.6,2,0.07,0,0,1.95,0,0,0,0.02,0,0,11,0.41,18.18,0,0.19,3.56,30.53,1.05,67.86,3.03,55.56,0.45,1.46,0.11,29.64,1.09,0.64,41.52,73.56,18.02,65.9,4.76,94.49,14.61,78.21,7.68,49.76,24.16,44.39,0.08,0.71,0.11,0.11,0.11,66.67,0.41,7.23,60.1,3.48,37.63,0.6,18.75,0.45,1.09,10.83,70.59,0,,0,,0,0,0,0,,,0.56,,
