Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
A. Zouhir,Al Wahda,Al Wahda,"RB, RCB",25,1973,1,0.61,4,2.83,Tunisia,8.58,6.29,67.39,2.97,53.85,0.05,0.07,0.14,4.29,6.84,0.78,2,0.09,1,0.05,2.46,0.05,1,0.05,0.03,1,0.05,12,0.55,25,8.333,0.18,2.83,40.32,1.82,65,4.74,45.19,1,1.92,0.18,31.98,2.28,0.41,45.34,82.29,17.61,73.58,5.43,94.12,15.87,86.21,5.29,55.17,19.28,31.48,0.13,0.82,0.05,0.05,0,0,0.5,6.89,70.86,3.42,46.67,0.64,14.29,0.68,1.05,10.77,78.81,0,,0,,0,0,0,0,,,0.59,,
Lucas Pimenta,Al Wahda,Al Wahda,RCB,25,2267,3,1.65,2,0.18,Brazil,6.99,4.29,66.67,4.33,56.88,0.12,0.19,0.4,4.01,6.46,0.75,6,0.24,0,0,0.44,0.12,3,0.12,0.07,0,0,12,0.48,66.67,25,0.08,0.08,50,0.2,40,1.23,48.39,0.79,1.71,0.04,34.42,0.28,0.6,48.28,89.8,19.14,79.88,3.41,97.67,21.44,97.22,6.55,55.76,21.71,39.96,0.01,0.04,0,0,0,0,0.04,5.36,71.85,0.4,30,0.32,0,0.08,0.04,8.5,76.64,0,,0,,0,0,0,0,,,2.46,,
H. Chikhaoui,Ajman,Ajman,"RW, CF",29,414,0,0.61,0,0.26,France,5.43,6.74,58.06,2.39,54.55,0,0,0,1.52,2.21,1.96,1,0.22,0,0,2.39,0,0,0,0.13,0,0,7,1.52,57.14,0,0,2.39,18.18,2.39,45.45,8.48,35.9,2.61,2.17,0.65,18.04,1.52,1.3,25.22,78.45,5,73.91,7.17,96.97,7.39,70.59,1.96,55.56,18.2,14.12,0.06,0.65,0,0,0.22,0,0,1.96,77.78,2.61,41.67,1.3,33.33,0.65,0.65,3.04,71.43,0,,0,,0,0,0,0,,,0.43,,
Yahia Nader,Al Ain,Al Ain,"LDMF, DMF, RCMF",27,1297,0,0.28,2,1.01,United Arab Emirates,5,3.54,58.82,1.87,48.15,0.28,0.44,0.49,2.64,4.16,0.83,2,0.14,0,0,1.11,0,0,0,0.02,0,0,9,0.62,33.33,0,0.14,0.35,40,0.9,61.54,3.61,50,0.97,2.85,0.42,43.99,0.56,1.18,55.58,91.89,12.98,79.14,9.85,98.59,22.55,96,3.12,75.56,16.37,26.73,0.07,0.76,0.14,0,0.49,42.86,0.28,6.87,85.86,1.18,58.82,0.62,33.33,0.83,0.07,6.25,88.89,0,,0,,0,0,0,0,,,0.56,,
Kouame Kouadio,Al Ain,Al Ain,LCB,25,2087,2,1.73,0,0.14,Côte d'Ivoire,8.24,5.65,73.28,3.54,62.2,0.13,0.22,0.39,3.97,6.73,0.95,5,0.22,0,0,0.65,0.09,2,0.09,0.07,1,0.04,18,0.78,27.78,11.111,0,0.13,33.33,0.47,81.82,1.47,47.06,0.78,1.6,0,34.67,0.52,0.3,47.7,90.14,20.66,82.46,2.33,88.89,19.79,97.6,4.79,54.95,19.41,38.06,0.01,0.09,0,0,0,0,0.04,7.16,72.29,0.99,60.87,0.65,46.67,0.69,0.04,7.72,75.42,0,,0,,0,0,0,0,,,0.69,,
A. Pérez,Al Arabi,Al Wasl,"LB, LCB",31,2202,1,0.58,2,1.08,Colombia,7.89,5.19,66.14,2.13,63.46,0.49,0.73,0.37,3.96,5.9,1.14,2,0.08,0,0,1.39,0.04,1,0.04,0.02,0,0,14,0.57,21.43,7.143,0.08,1.92,42.55,0.45,90.91,2.98,54.79,0.61,1.72,0,37.11,1.55,0.9,49.78,85.71,20.35,79.32,4.41,93.52,18.6,89.23,5.93,55.17,19.63,37.49,0.04,0.74,0.04,0.04,0.04,100,0.33,8.79,78.14,2.7,48.48,0.33,50,0.74,0.69,10.1,73.68,0,,0,,0,0,0,0,,,0.98,,
Lourency,Khorfakkan,Khorfakkan,"LAMF, LW",29,1715,6,7.47,5,2.86,Brazil,2.99,3.31,47.62,1.31,32,0.1,0.14,0,1.31,1.78,0.94,1,0.05,0,0,4.09,0.31,4,0.21,0.39,0,0,46,2.41,34.78,13.043,0.26,1.68,28.13,4.25,60.49,10.23,44.1,2.83,2.47,0.42,15.38,1.84,1.47,21.41,74.51,5.35,58.82,5.35,94.12,6.14,71.79,1.36,42.31,16.77,20.8,0.15,1.47,0.1,0,0.37,57.14,0.52,1.57,73.33,2.05,46.15,0.37,28.57,0.94,0.47,3.2,67.21,0,,0,,0,0,0,0,,,0,,
D. Bessa,Al Bataeh,Al Ittihad Kalba,"RWF, AMF, CF",32,1774,4,3.54,3,3.74,Brazil,2.54,2.28,46.67,0.91,16.67,0.1,0.13,0.1,1.37,1.81,0.76,3,0.15,0,0,2.03,0.2,3,0.15,0.18,0,0,26,1.32,26.92,15.385,0.15,1.47,41.38,1.62,50,5.53,33.94,2.33,2.64,0.25,33.99,1.52,0.71,41.55,83.52,12.28,71.49,7.76,94.12,12.84,87.35,3.65,56.94,16.91,34.91,0.19,2.08,0.15,0.05,0.3,83.33,0.66,7.56,78.52,3.3,55.38,1.07,47.62,1.72,0.56,6.54,79.07,0,,0,,0,0,0,0,,,0.05,,
P. Otele,Basel,Al Wahda,"LW, LWF, LAMF",26,490,0,1.46,0,0.1,Nigeria,3.67,3.49,57.89,2.94,50,0.37,0.63,0,1.29,2.19,1.47,0,0,0,0,5.88,0,0,0,0.27,0,0,10,1.84,40,0,0,2.2,41.67,5.69,74.19,13.96,51.32,2.94,1.84,0.18,15.06,1.84,1.47,23.51,76.56,4.41,54.17,4.22,91.3,9.92,79.63,2.2,50,19.76,21.02,0.02,0.55,0,0,0.18,0,0,2.2,83.33,2.02,45.45,0.18,0,1.1,0.73,3.67,70,0,,0,,0,0,0,0,,,0,,
O. Boussaid,Al Nasr,Al Nasr,"LWB, LAMF, LW",25,2442,2,2.05,3,4.73,Belgium,4.61,3.02,62.2,0.59,25,0.04,0.06,0.07,2.69,4.02,0.18,2,0.07,0,0,4.28,0.07,2,0.07,0.08,1,0.04,36,1.33,36.11,5.556,0.11,4.57,33.06,4.35,50,7.08,45.31,2.25,2.29,0.41,39.43,1.95,0.96,50.16,79.35,14.23,67.88,8.4,95.18,19.13,80.73,5.16,51.43,19.23,37.73,0.17,1.36,0.11,0,0.29,37.5,0.74,6.08,70.91,6.15,44.31,1.14,35.48,1.36,1.58,8.48,77.39,0,,0,,0,0,0,0,,,0.07,,
