Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
W. Hoedt,Al Shabab,Al Shabab,"CB, LCB",31,3238,5,1.72,1,1.03,Netherlands,7.25,3.81,67.88,2.81,68.32,0.25,0.37,0.58,4.42,6.48,0.86,7,0.19,0,0,0.42,0.14,5,0.14,0.05,3,0.08,18,0.5,50,27.778,0.03,0.08,33.33,0.11,100,0.5,55.56,0.47,0.47,0,34.85,0.44,0.25,46.86,90.57,18.23,83.23,2.53,95.6,22.37,95.4,7.42,64.79,23.66,45.08,0.03,0.08,0.03,0.03,0.03,100,0.08,7.62,74.45,0.42,46.67,0.39,35.71,0.17,0.03,9.51,82.16,0,,0,,0,0,0,0,,,1.97,,
S. Bendebka,Al Fateh,Al Fateh,"RDMF, RCMF, LDMF",32,3227,12,10.86,1,2.65,Algeria,6.22,5.35,53.13,2.4,47.67,0.53,0.74,0.22,2.84,3.98,1.28,4,0.11,0,0,1.48,0.33,9,0.25,0.3,3,0.08,60,1.67,46.67,20,0.03,0.56,35,0.98,40,4.82,44.51,2.31,0.47,0.14,25.38,1,1.59,33.61,84.48,10.18,74.52,5.58,92.5,11.49,88.59,2.71,54.64,17.7,35.06,0.07,0.53,0.06,0,0.25,44.44,0.22,4.38,75.8,0.95,52.94,0.36,30.77,0.45,0.2,4.52,77.16,0,,0,,0,0,0,0,,,0.17,,
Nacho Fernández,Al Qadisiyah,Al Qadisiyah,"CB, LCB, RCB",35,3201,0,2.31,1,0.53,Spain,6.13,2.36,73.81,2.16,54.55,0.11,0.16,0.31,4.27,5.91,0.42,4,0.11,0,0,0.48,0,0,0,0.06,0,0,16,0.45,43.75,0,0.03,0.11,0,0.39,64.29,1.04,48.65,0.59,0.79,0.03,33.32,0.22,0.39,46.25,93.31,16.59,88.47,2.61,95.7,22.97,97.31,2.9,65.05,19.78,38.91,0.01,0.08,0,0.03,0.06,50,0.03,3.96,75.89,0.31,36.36,0.31,18.18,0.11,0,6.21,81,0,,0,,0,0,0,0,,,1.88,,
F. Sakala,Al Feiha,Al Feiha,"CF, LWF, LW",28,3182,8,9.97,4,5.2,Zambia,3.34,3.62,55.47,1.19,40.48,0.2,0.26,0.03,1.13,1.5,1.16,5,0.14,0,0,6.02,0.23,5,0.14,0.28,1,0.03,71,2.01,33.8,11.268,0.11,3,28.3,7.75,56.93,13.52,44.56,4.67,5.69,0.59,21.95,2.94,0.93,26.05,75.24,4.95,65.71,7.04,92.77,8,71.38,0.34,41.67,16.43,14.78,0.15,0.91,0,0,0.17,50,0.57,1.67,74.58,2.69,55.79,0.11,25,1.53,0.96,3.71,78.63,0,,0,,0,0,0,0,,,0.03,,
Salem Al Dawsari,Al Hilal,Al Hilal,"LAMF, LW",34,3173,15,12.45,10,10.67,Saudi Arabia,3.49,3.83,60,0.51,27.78,0.09,0.15,0,1.11,1.91,0.6,3,0.09,0,0,4.79,0.43,15,0.43,0.35,1,0.03,82,2.33,45.12,18.293,0.28,2.81,40.4,4.62,53.37,9.28,44.34,4.4,4.42,1.05,33.58,2.07,0.96,39.6,81.45,9.59,73.67,8.06,94.01,12.48,81.36,1.36,52.08,16.12,27.76,0.3,2.13,0.31,0.06,0.28,50,0.85,3.66,72.87,4.2,62.16,0.34,50,2.81,1.13,6.52,87.39,0,,0,,0,0,0,0,,,0.03,,
S. Milinković-Savić,Al Hilal,Al Hilal,"LDMF, LCMF, AMF",30,3168,12,8.22,6,5.07,Spain,5.4,3.98,60.71,3.58,54.76,0.2,0.36,0.23,2.78,5.03,1.14,3,0.09,0,0,2.3,0.34,12,0.34,0.23,3,0.09,75,2.13,41.33,16,0.17,1.7,16.67,1.79,39.68,5.11,28.89,3.35,1.05,0.09,40.63,1.28,0.8,48.92,81.94,14.69,68.47,9.4,96.68,15.74,85.38,4.09,56.94,17.91,38.46,0.14,0.88,0.11,0.09,0.91,46.88,0.45,8.13,73.43,3.86,44.12,1.19,38.1,1.85,0.37,6.65,79.91,0,,0,,0,0,0,0,,,0.43,,
Robert Renan,Zenit,Al Shabab,"LCB, LB",21,3154,0,1.1,2,0.89,Brazil,7.19,4.91,57.56,1.54,62.96,0.29,0.42,0.43,4.08,6.04,0.91,7,0.2,0,0,0.94,0,0,0,0.03,0,0,8,0.23,12.5,0,0.06,0.97,26.47,0.97,64.71,2.28,51.25,0.6,1.83,0.14,35.33,1.11,0.31,46.8,89.33,20.49,84.4,3.94,96.38,14.5,93.31,3.25,50.88,18.22,42.22,0.03,0.34,0,0.03,0.11,25,0.14,6.91,76.03,1.43,42,0.4,35.71,0.43,0.23,7.79,79.85,0,,0,,0,0,0,0,,,0.88,,
N. Kanté,Al Ittihad,Al Ittihad,RDMF,34,3145,4,2.68,3,3.01,France,9.24,6.41,67.86,0.97,44.12,0.06,0.09,0.52,4.84,7.19,0.83,5,0.14,0,0,2,0.11,4,0.11,0.08,0,0,16,0.46,37.5,25,0.09,0.74,42.31,1.72,75,5.64,43.65,1.09,2.35,0.34,48.02,0.23,0.43,62.44,90.83,19.97,82.81,7.87,96.36,23.61,95.88,3.21,65.18,16.98,32.47,0.09,0.57,0.09,0,0.31,72.73,0.34,9.01,83.17,2,60,0.37,61.54,1.17,0.34,8.7,85.86,0,,0,,0,0,0,0,,,0.29,,
F. Chafaï,,Dhamk,"RCB, CB",35,3141,3,4.95,1,0,Algeria,6.99,3.72,61.54,2.49,56.32,0.14,0.19,0.66,4.56,5.98,0.8,4,0.11,0,0,0.54,0.09,3,0.09,0.14,2,0.06,27,0.77,40.74,11.111,0.03,0.06,50,0.4,50,1.26,54.55,1.06,0.52,0,20.26,0.17,0.69,31.55,85.29,12.64,72.11,1.78,95.16,14.13,95.33,6.1,58.22,22.46,40.15,0,0.09,0,0.03,0.03,0,0.06,3.44,61.67,0.26,11.11,0.17,0,0.11,0.03,5.76,61.19,0,,0,,0,0,0,0,,,1.17,,
R. Mahrez,Al Ahli,Al Ahli,"RAMF, RW",34,3139,8,5.15,10,10.33,France,3.87,4.36,55.26,0.69,25,0.14,0.24,0.09,1.32,2.16,0.75,4,0.11,0,0,2.98,0.23,7,0.2,0.15,0,0,55,1.58,43.64,14.545,0.29,1.86,40,2.35,57.32,6.19,38.89,2.32,1.83,0.17,25.95,2.09,1,31.8,84.94,6.65,74.57,7.57,95.08,13.36,85.41,3.07,67.29,19.32,37.74,0.3,2.44,0.09,0.03,0.4,50,0.57,3.35,74.36,3.5,62.3,0.89,48.39,2.15,0.77,5.42,88.36,0,,0,,0,0,0,0,,,0.2,,
