Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
I. Diallo,Al Ahli,Al Khor,"DMF, LDMF, RDMF",26,1569,0,1.54,1,0.9,France,7.23,7.23,66.67,1.38,58.33,0,0,0.11,2.41,3.27,1.89,4,0.23,1,0.06,0.98,0,0,0,0.09,0,0,11,0.63,45.45,0,0.06,0.17,33.33,0.8,71.43,4.02,44.29,0.63,0.86,0.11,34.82,0.17,1.2,46.46,92.35,14,84.43,6.02,99.05,20.02,95.42,2.93,64.71,17.8,33.96,0.05,0.98,0.06,0.11,0.11,50,0.17,7.17,80.8,0.69,50,0.57,60,0.4,0.06,5.45,87.37,0,,0,,0,0,0,0,,,0.69,,
André Amaro,Al Rayyan,Al Rayyan,RCB,23,2053,0,1.58,2,0.64,Portugal,8.33,5.7,63.85,3.99,58.24,0.39,0.57,0.88,4.3,6.24,1.14,3,0.13,0,0,0.35,0,0,0,0.07,0,0,10,0.44,10,0,0.09,0.13,66.67,0.22,100,0.88,65,0.44,0.7,0.04,26.87,0.22,0.57,41.03,90.6,18.76,82.48,1.67,100,18.02,97.32,4.21,61.46,21.29,38.75,0.03,0.13,0,0.04,0.04,0,0.09,4.56,71.15,0.39,33.33,0.18,25,0.13,0.09,7.93,77.35,0,,0,,0,0,0,0,,,1.45,,
Joselu,Al Gharafa,Al Gharafa,CF,35,2099,10,10.74,1,1.15,Germany,2.32,1.16,59.26,4.03,47.87,0,0,0.13,1.63,2.43,0.69,4,0.17,0,0,1.89,0.43,9,0.39,0.46,1,0.04,63,2.7,44.44,15.873,0.04,0.47,27.27,1.03,50,3.73,40.23,3.99,0.3,0.04,14.06,1.54,0.81,18.27,80.52,2.83,69.7,6.39,92.62,5.32,75,0.6,71.43,16.03,16.88,0.05,0.39,0.09,0,0.09,50,0.04,1.63,65.79,0.69,43.75,0.09,50,0.47,0.09,1.16,48.15,0,,0,,0,0,0,0,,,0.04,,
Rodrigo,Al Rayyan,Al Gharafa,"CF, AMF, LCMF",34,763,2,2.66,1,1.4,Brazil,5.07,3.66,61.29,2.83,25,0.12,0.19,0.35,2.71,4.39,1.06,1,0.12,0,0,2.6,0.24,2,0.24,0.31,0,0,22,2.6,36.36,9.091,0.12,2.24,21.05,1.77,40,5.54,38.3,4.36,1.42,0.35,27.13,1.3,1.3,33.5,81.69,6.49,72.73,9.55,93.83,10.26,73.56,1.65,85.71,17.37,32.57,0.17,1.18,0,0,0.59,80,0.59,2.95,68,4.01,55.88,0.59,80,1.65,0.47,3.89,78.79,0,,0,,0,0,0,0,,,0.24,,
Y. Atal,Al Sadd,Al Sadd,RB,29,423,1,1.05,2,0.29,Algeria,7.23,4.47,61.9,1.06,60,0.43,0.66,0.21,4.04,6.26,1.06,1,0.21,0,0,3.83,0.21,1,0.21,0.22,0,0,6,1.28,50,16.667,0.43,2.13,20,4.47,61.9,9.36,45.45,3.62,5.74,0.64,32.13,1.91,1.49,40.21,83.07,11.06,73.08,9.79,93.48,11.28,83.02,3.19,53.33,17.14,37.23,0.06,0.85,0.21,0.21,0,0,0.43,3.83,66.67,3.62,58.82,0,0,2.55,0.43,5.96,78.57,0,,0,,0,0,0,0,,,0.43,,
Ricardo Gomes,Al Khor,Al Khor,CF,33,2171,13,8.97,0,1.73,Cape Verde Islands,1.58,1.66,52.5,5.56,41.04,0,0,0,0.7,0.98,1.2,1,0.04,0,0,3.19,0.54,11,0.46,0.37,5,0.21,60,2.49,50,21.667,0,0.54,15.38,3.07,60.81,9.78,34.32,4.27,0.7,0.04,8.42,1.74,0.75,13.06,77.78,2.03,63.27,3.9,86.17,3.11,82.67,0.12,66.67,13.88,2.39,0.07,0.46,0.08,0.04,0.08,0,0.25,0.95,65.22,0.79,52.63,0.08,0,0.99,0.08,1.08,61.54,0,,0,,0,0,0,0,,,0,,
N. Sliti,Al Shamal,Al Shamal,"LW, LAMF, CF",33,1185,3,1.37,0,2.46,France,3.87,3.65,43.75,1.06,35.71,0.15,0.21,0,2.13,2.94,0.91,0,0,0,0,3.27,0.23,3,0.23,0.1,0,0,20,1.52,35,15,0,2.05,59.26,3.65,41.67,9.65,44.09,2.35,3.27,0.61,22.25,2.13,1.97,30.84,82.51,8.43,76.58,6.46,89.41,9.87,82.31,2.2,75.86,17.25,32.22,0.19,1.52,0.3,0.08,0.15,0,0.84,3.65,79.17,3.34,68.18,0.61,50,1.44,1.29,5.54,80.82,0,,0,,0,0,0,0,,,0.23,,
Thiago Mendes,Vasco da Gama,Al Rayyan,"LCMF, DMF, RCMF",33,362,0,0.17,0,0.08,Brazil,3.98,3.73,66.67,1.24,0,0,0,0,1.49,2.25,0.75,0,0,0,0,0.75,0,0,0,0.04,0,0,4,0.99,50,0,0,0.25,0,0.25,0,5.22,42.86,0.75,0.75,0.25,59.42,0.5,1.24,70.86,90.18,21.63,83.91,8.2,96.97,23.62,89.47,5.47,59.09,16.17,38.12,0.02,0.75,0,0,0.5,50,0.25,12.43,80,2.24,55.56,0.99,50,0.99,0,8.2,84.85,0,,0,,0,0,0,0,,,0,,
J. Draxler,Al Ahli,Al Ahli,"LW, AMF, LWF",32,1831,13,5.36,7,3.45,Germany,2.51,2.06,64.29,1.03,61.9,0,0,0.05,1.18,1.84,0.64,5,0.25,0,0,2.65,0.64,12,0.59,0.26,0,0,35,1.72,57.14,37.143,0.34,0.34,28.57,2.56,57.69,7.32,40.94,2.16,1.72,0.49,28.12,1.43,0.79,34.11,88.47,7.03,71.33,9.78,98.49,11.26,90.83,1.57,71.88,17.35,36.18,0.17,1.28,0.05,0.1,0.44,22.22,0.59,4.62,72.34,1.43,58.62,0.54,18.18,0.93,0.15,4.03,84.15,0,,0,,0,0,0,0,,,0.2,,
M. Uribe,Atlético Nacional,Al Sadd,"RDMF, RCMF, LDMF",34,371,0,0.01,1,0.09,Colombia,5.58,6.31,50,1.46,33.33,0,0,0.24,2.43,3.7,1.7,1,0.24,0,0,0.97,0,0,0,0,0,0,1,0.24,0,0,0.24,0.24,100,1.21,60,5.09,57.14,0.24,1.94,0,53.13,0.49,1.46,67.44,92.09,17.22,80.28,6.79,100,34.2,95.04,6.06,72,19.2,28.29,0.02,0.73,0,0,0.24,0,0.49,8.98,86.49,0.97,50,0.24,0,0.24,0.24,8.01,84.85,0,,0,,0,0,0,0,,,1.21,,
